2025-11-21 01:09:23,603 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-11-21 01:09:23,687 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-11-21 01:09:23,690 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-11-21 01:09:23,691 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-11-21 01:09:23,695 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-11-21 01:09:23,696 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-11-21 01:09:23,698 INFO  SwAddin.cs: 201 - Setting up command manager
2025-11-21 01:09:23,700 INFO  SwAddin.cs: 204 - Adding command manager
2025-11-21 01:09:23,703 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-11-21 01:09:23,706 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-11-21 01:09:23,707 INFO  SwAddin.cs: 210 - Adding event handlers
2025-11-21 01:09:23,713 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-11-21 01:19:56,518 INFO  SwAddin.cs: 294 - Assembly export called for file prototip montaj
2025-11-21 01:19:56,524 INFO  SwAddin.cs: 299 - Save is required
2025-11-21 01:19:56,525 INFO  SwAddin.cs: 313 - Saving assembly
2025-11-21 01:19:58,008 INFO  SwAddin.cs: 316 - Opening property manager
2025-11-21 01:19:58,050 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from prototip montaj
2025-11-21 01:19:58,062 INFO  ExportHelperExtension.cs: 1136 - Found 67 in prototip montaj
2025-11-21 01:19:58,063 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in prototip montaj
2025-11-21 01:19:58,064 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-11-21 01:19:58,066 INFO  ExportHelperExtension.cs: 1160 - 9 components to check
2025-11-21 01:19:58,069 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from üst kapak v2-1
2025-11-21 01:19:58,070 INFO  ExportHelperExtension.cs: 1136 - Found 79 in üst kapak v2-1
2025-11-21 01:19:58,072 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in üst kapak v2-1
2025-11-21 01:19:58,073 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor sabitleme parçasi-1
2025-11-21 01:19:58,075 INFO  ExportHelperExtension.cs: 1136 - Found 58 in motor sabitleme parçasi-1
